f si sl ac k2
343 4.0 2.193964 7.04591 0.745952
344 7.0 2.42455 6.96506 0.746865
345 5.0 2.196342 6.803078 0.744562
346 4.0 2.360303 6.866874 0.744355
347 6.0 2.216249 6.857633 0.744625
348 5.0 2.632562 6.908803 0.747445
349 10.0 1.984518 6.770776 0.745577
350 6.0 2.673177 6.88889 0.744711
351 7.0 2.520361 6.927094 0.743538
352 7.0 2.147305 6.745024 0.745039
353 5.0 2.144893 6.423234 0.749674
354 5.0 2.622116 6.435976 0.752475
355 4.0 2.797208 6.610935 0.748652
356 2.0 2.503967 7.01144 0.749314
357 2.0 1.88154 6.970629 0.745557
358 3.0 2.315975 7.006084 0.747743
359 5.0 2.445446 7.240962 0.744138
360 3.0 2.180315 7.38089 0.742578
361 2.0 2.524578 7.018194 0.742941
362 4.0 2.443543 7.282085 0.742961
363 4.0 2.290443 7.51567 0.735126
364 4.0 2.176041 7.435682 0.738789
365 7.0 2.183044 7.44919 0.736253
366 6.0 2.653543 7.377876 0.73713
367 5.0 2.773635 7.354274 0.737703
368 3.0 2.694764 7.523629 0.739574
369 3.0 2.674997 7.425968 0.736486
370 5.0 2.138527 7.555588 0.73288
371 3.0 2.208315 7.45323 0.732468
372 5.0 2.071217 7.392989 0.738489
373 7.0 2.271707 7.381343 0.737063
374 4.0 3.003544 7.310852 0.732291
375 5.0 3.047428 7.355387 0.724748
376 3.0 2.120249 7.645824 0.731567
377 4.0 2.682188 7.72518 0.731282
378 6.0 2.279876 7.537767 0.730602
379 4.0 2.610119 7.543701 0.730806
380 6.0 2.715618 7.859747 0.729584
381 6.0 2.231886 7.820153 0.732644
382 3.0 2.819742 7.65922 0.734915
383 5.0 2.872381 7.586711 0.731507
384 5.0 2.509271 7.479523 0.731775
385 4.0 2.504374 7.635039 0.733332
386 5.0 1.761629 7.62416 0.734671
387 6.0 2.604209 7.540581 0.736245
388 8.0 2.534169 7.566331 0.735179
389 5.0 2.674072 7.453457 0.735718
390 4.0 1.818353 7.564543 0.734354
391 3.0 2.49477 7.402305 0.741419
392 4.0 2.301783 7.573371 0.742479
393 3.0 2.233547 7.723151 0.74181
394 4.0 2.107232 7.619621 0.741561
395 4.0 2.371428 7.645491 0.736218
396 8.0 2.516241 7.953141 0.739668
397 5.0 1.946796 8.092975 0.736071
398 5.0 2.263165 8.002688 0.732325
399 3.0 2.192212 7.744633 0.733355
400 4.0 2.759491 7.786084 0.731646
401 3.0 2.573172 7.510626 0.727272
402 6.0 2.673944 7.86012 0.730268
403 3.0 2.587519 8.008349 0.732661
404 4.0 2.454131 7.818826 0.731734
405 6.0 2.782438 7.689561 0.733703
406 6.0 2.536278 7.835204 0.734335
407 8.0 2.491528 7.782493 0.730519
408 4.0 1.97904 7.964278 0.732612
409 7.0 2.757884 7.686143 0.73714
410 8.0 2.654461 7.756543 0.737743
411 3.0 2.124726 7.867309 0.734367
412 5.0 2.066997 7.802692 0.733808
413 4.0 2.476075 7.998007 0.735248
414 6.0 2.075998 7.661395 0.736447
415 3.0 2.140664 7.763368 0.730628
416 7.0 2.365864 7.683847 0.732197
417 6.0 2.159453 7.810049 0.733941
418 10.0 2.562956 7.777945 0.732934
419 8.0 2.436898 8.023692 0.728826
420 7.0 2.142658 7.775474 0.730102
421 8.0 2.395251 7.762455 0.725328
422 7.0 2.277507 7.975604 0.730317
423 9.0 3.225008 8.021348 0.727489
424 7.0 2.326423 8.032198 0.725185
425 8.0 2.343414 7.834606 0.72967
426 5.0 2.199125 7.830211 0.725539
427 10.0 2.518042 7.749208 0.722174
428 4.0 2.365741 7.785402 0.723276
429 8.0 2.176646 7.721243 0.72827
430 7.0 2.419949 7.909939 0.728084
431 5.0 1.903051 8.211819 0.724309
432 6.0 2.176557 7.91937 0.733374
433 8.0 2.681401 7.824639 0.727461
434 5.0 2.830419 8.045103 0.727081
435 6.0 3.912018 8.235611 0.727652
436 6.0 3.102151 7.912598 0.730416
437 8.0 3.096163 7.899299 0.729735
438 7.0 3.201334 7.869259 0.734954
439 11.0 2.448938 8.088568 0.728561
440 6.0 3.678958 7.784546 0.728187
441 5.0 3.213945 7.636414 0.730491
442 6.0 2.937282 7.703324 0.728313
443 7.0 3.487429 7.792931 0.731258
444 6.0 2.172953 7.989917 0.735828
445 9.0 2.921656 8.195965 0.737565
446 9.0 2.287583 7.741477 0.735718
447 8.0 2.53546 7.591206 0.737766
448 8.0 2.751604 7.702484 0.735308
449 5.0 2.944735 7.717292 0.737998
450 5.0 2.5363 7.458674 0.73706
451 6.0 2.516255 7.441033 0.735829
452 6.0 3.100503 7.39443 0.737967
453 5.0 2.39551 7.455694 0.735348
454 6.0 2.161708 7.223308 0.739561
455 7.0 2.628689 7.228487 0.736713
456 10.0 2.44978 7.14423 0.737995
457 5.0 1.917045 7.049858 0.738157
458 7.0 2.588583 7.003151 0.739171
459 6.0 2.308359 7.137356 0.74031
460 7.0 2.731038 7.291897 0.737353
461 9.0 2.40142 7.490685 0.737473
462 8.0 2.543444 7.347732 0.738134
463 6.0 2.852726 7.39774 0.737508
464 7.0 2.49048 7.748318 0.734348
465 5.0 2.21478 7.681484 0.73669
466 7.0 2.774085 7.520598 0.732869
467 9.0 2.80401 7.459785 0.732374
468 6.0 2.54879 7.46618 0.734372
469 8.0 2.542691 7.567878 0.730186
470 7.0 2.424053 7.716656 0.733929
471 5.0 3.531134 7.711228 0.730191
472 9.0 2.829221 7.590237 0.735042
473 7.0 3.359556 7.694779 0.729626
474 8.0 3.038345 7.79177 0.728321
475 8.0 2.730602 7.706201 0.733367
476 4.0 2.402764 7.473778 0.735474
477 7.0 2.16947 7.348829 0.737034
478 6.0 3.322575 7.380963 0.73866
479 6.0 3.32934 7.289763 0.733844
480 4.0 2.389635 7.316231 0.726165
481 7.0 2.589817 7.392342 0.733196
482 8.0 2.73435 7.482229 0.729627
483 7.0 2.856582 7.456988 0.730077
484 6.0 2.921789 7.44471 0.731944
485 6.0 3.283208 7.608751 0.729833
486 7.0 2.684189 7.486705 0.729693
487 5.0 3.780569 7.601025 0.735453
488 5.0 3.027673 7.493069 0.734659
489 7.0 2.806629 7.200302 0.736103
490 7.0 3.676993 7.540889 0.733481
491 7.0 3.161495 7.341438 0.729811
492 6.0 2.516933 7.304588 0.734554
493 5.0 3.083276 7.327948 0.736258
494 4.0 3.149389 7.316353 0.737296
495 3.0 2.756935 7.5985 0.736972
496 4.0 2.630006 7.357111 0.736628
497 7.0 2.377395 7.152202 0.737287
498 7.0 3.026943 7.256294 0.734126
499 7.0 2.739388 7.415283 0.733959
500 7.0 3.268551 7.351115 0.738175
501 4.0 2.172014 7.335669 0.736574
502 7.0 2.518263 7.333225 0.733458
503 5.0 2.412277 7.434868 0.735492
504 5.0 2.818987 7.157968 0.737525
505 6.0 2.44979 6.854463 0.737176
506 9.0 2.543304 6.745096 0.738842
507 7.0 2.625974 7.041811 0.742798
508 9.0 2.349279 7.201044 0.741399
509 8.0 2.226078 7.15045 0.738927
510 9.0 2.671165 6.946329 0.740226
511 6.0 2.51112 6.838498 0.743851
512 8.0 3.040875 7.023455 0.742953
513 5.0 3.242217 6.850677 0.744206
514 4.0 2.630842 6.890856 0.742687
515 8.0 3.690205 6.874932 0.742103
516 6.0 2.771997 6.997481 0.738693
517 8.0 3.652808 6.947504 0.743196
518 7.0 2.506001 6.994489 0.738244
519 8.0 2.674602 7.19524 0.738188
520 7.0 2.830892 6.826174 0.742639
521 8.0 3.673601 6.711209 0.740912
522 10.0 3.473566 6.93641 0.736696
523 9.0 3.070314 6.952442 0.738694
524 7.0 3.000423 6.895795 0.738624
525 6.0 3.058774 6.795849 0.731982
526 5.0 2.792754 6.681854 0.742107
527 6.0 2.77272 6.789516 0.742001
528 10.0 2.487368 6.963497 0.74222
529 6.0 2.720533 6.847227 0.737273
530 7.0 2.867992 6.733142 0.744131
531 5.0 2.834702 6.885047 0.744449
532 6.0 2.849264 6.721114 0.745611
533 6.0 3.383784 6.919581 0.748319
534 4.0 2.893097 6.878035 0.742962
535 6.0 3.178639 6.963277 0.746209
536 7.0 3.146576 7.452219 0.745811
537 7.0 3.160924 7.419581 0.744533
538 7.0 3.164879 7.4994 0.745148
539 7.0 2.99436 7.148625 0.747126
540 9.0 3.102727 7.1756 0.747173
541 7.0 2.392995 7.23383 0.746979
542 8.0 2.532546 7.428987 0.741709
543 9.0 3.137917 7.490717 0.745826
544 8.0 2.904767 7.462197 0.745321
545 9.0 2.72352 7.370125 0.747106
546 8.0 3.374073 7.200362 0.747761
547 8.0 2.874615 7.058101 0.746469
548 9.0 2.788751 7.19106 0.745303
549 8.0 2.626418 7.396654 0.747478
550 9.0 2.802767 7.47653 0.745012
551 7.0 2.371066 7.388278 0.740978
552 7.0 3.076955 7.524456 0.741793
553 10.0 3.408202 7.455941 0.744478
554 7.0 2.848102 7.310177 0.745684
555 7.0 2.879675 7.267875 0.745961
556 8.0 3.294309 7.493777 0.742645
557 7.0 3.124332 7.437444 0.746444
558 10.0 3.464825 7.424017 0.748541
559 6.0 3.377948 7.286868 0.742297
560 6.0 3.091616 7.30661 0.739208
561 8.0 3.116854 7.10719 0.741043
562 7.0 3.34541 6.900138 0.749816
563 9.0 3.306846 7.299411 0.744632
564 7.0 2.558385 7.193097 0.746379
565 5.0 3.170296 7.451125 0.737349
566 6.0 2.914161 7.283424 0.743396
567 7.0 3.359337 7.114848 0.748653
568 8.0 3.230794 6.95093 0.743621
569 7.0 3.030806 6.821458 0.745837
570 9.0 2.636655 7.002033 0.749119
571 11.0 2.352212 6.692988 0.747901
